500 30
debianutils 128329 90
libgcc1 128327 46
dpkg 128294 2672
perl-base 127369 1969
debconf 121503 168
grep 121426 595
gzip 121346 142
login 121332 980
coreutils 121240 6505
bash 121229 1673
sed 121220 261
findutils 121173 805
lsb-base 121121 26
sysv-rc 121092 80
sysvinit-utils 121078 116
base-files 121072 65
initscripts 121037 93
util-linux 121022 846
mount 120961 272
libselinux1 120918 109
cron 120872 120
base-passwd 120856 49
apt 120826 1356
tzdata 120813 488
logrotate 120745 64
popularity-contest 120729 67
libacl1 120676 36
libpopt0 120460 68
zlib1g 120263 116
ncurses-bin 119729 355
